209;20200227;
215;20200227;37
225;20200227;
235;20200227;37
240;20200227;31
242;20200227;40
248;20200227;
249;20200227;28
251;20200227;35
257;20200227;44
258;20200227;
260;20200227;27
267;20200227;37
269;20200227;27
270;20200227;26
273;20200227;25
275;20200227;20
277;20200227;34
278;20200227;23
279;20200227;21
280;20200227;22
283;20200227;23
285;20200227;
286;20200227;25
290;20200227;21
308;20200227;
310;20200227;42
312;20200227;
313;20200227;
315;20200227;
316;20200227;
319;20200227;31
323;20200227;36
324;20200227;
330;20200227;43
331;20200227;
340;20200227;28
343;20200227;
344;20200227;35
348;20200227;28
350;20200227;25
356;20200227;26
370;20200227;22
375;20200227;23
377;20200227;20
380;20200227;17
391;20200227;24
