WijkBuurt;Regio;SoortRegio;RegioCode;Drank;Obesitas;Roker;LichGez;PsychGez;Eenzaam;GoedGez;SportBew;Mantelzorg
Robert Scottbuurt West;Amsterdam;Buurt;BU03633900;45;13;33;33;13;16;71;56;6
Laan van Spartaan;Amsterdam;Buurt;BU03633901;47;14;31;31;12;14;74;56;7
Kolenkitbuurt Zuid;Amsterdam;Buurt;BU03633902;51;15;31;32;12;14;72;56;7
Kolenkitbuurt Noord;Amsterdam;Buurt;BU03633903;70;21;32;39;17;19;61;50;8
Geuzenbuurt;Amsterdam;Wijk;WK036340;31;10;32;28;8;11;80;62;8
Geuzenhofbuurt;Amsterdam;Buurt;BU03634000;26;8;31;25;6;9;84;64;7
Trompbuurt;Amsterdam;Buurt;BU03634001;31;9;32;28;8;11;80;62;8
Pieter van der Doesbuurt;Amsterdam;Buurt;BU03634002;36;12;33;31;9;13;75;59;8
Van Galenbuurt;Amsterdam;Wijk;WK036341;47;15;35;34;13;17;68;58;8
John Franklinbuurt;Amsterdam;Buurt;BU03634100;40;13;33;34;11;15;72;58;8
Jan Maijenbuurt;Amsterdam;Buurt;BU03634101;43;15;34;35;12;16;69;57;8
Orteliusbuurt Noord;Amsterdam;Buurt;BU03634102;41;14;31;33;10;14;72;57;8
Mercatorpark;Amsterdam;Buurt;BU03634103;69;18;43;34;18;24;58;57;9
Hoofdweg e.o.;Amsterdam;Wijk;WK036342;40;13;33;33;11;14;73;58;8
Balboaplein e.o.;Amsterdam;Buurt;BU03634200;41;14;34;32;11;15;73;58;7
Columbusplein e.o.;Amsterdam;Buurt;BU03634201;43;15;33;35;11;16;70;57;8
Orteliusbuurt Midden;Amsterdam;Buurt;BU03634202;35;12;32;31;9;13;76;59;8
Orteliusbuurt Zuid;Amsterdam;Buurt;BU03634203;36;12;32;33;9;13;74;56;7
Westindische Buurt;Amsterdam;Wijk;WK036343;29;9;31;28;7;11;80;63;8
Paramariboplein e.o.;Amsterdam;Buurt;BU03634300;29;9;31;27;7;11;81;64;8
Postjeskade e.o.;Amsterdam;Buurt;BU03634301;30;10;31;30;7;11;79;61;8
Hoofddorppleinbuurt;Amsterdam;Wijk;WK036344;28;9;29;28;6;11;81;63;8
Surinamepleinbuurt;Amsterdam;Buurt;BU03634400;27;8;28;28;6;9;82;64;9
Westlandgrachtbuurt;Amsterdam;Buurt;BU03634401;29;9;28;29;6;10;81;62;8
Aalsmeerwegbuurt West;Amsterdam;Buurt;BU03634402;27;8;29;27;6;10;82;64;8
Aalsmeerwegbuurt Oost;Amsterdam;Buurt;BU03634403;30;9;29;29;7;11;80;63;9
Legmeerpleinbuurt;Amsterdam;Buurt;BU03634404;28;9;29;29;6;10;81;64;9
Bedrijventerrein Schinkel;Amsterdam;Buurt;BU03634405;38;10;35;30;10;21;76;62;8
Schinkelbuurt;Amsterdam;Wijk;WK036345;30;9;31;30;8;12;79;64;8
Schinkelbuurt Noord;Amsterdam;Buurt;BU03634500;27;8;30;28;7;11;82;66;8
Schinkelbuurt Zuid;Amsterdam;Buurt;BU03634501;35;11;32;33;9;14;74;60;8
Willemspark;Amsterdam;Wijk;WK036346;28;7;23;28;4;8;84;65;11
Valeriusbuurt Oost;Amsterdam;Buurt;BU03634600;27;7;21;28;4;7;85;65;12
Valeriusbuurt West;Amsterdam;Buurt;BU03634601;29;8;23;29;5;8;83;64;11
Willemsparkbuurt Noord;Amsterdam;Buurt;BU03634602;25;7;25;27;4;8;84;67;11
Vondelpark West;Amsterdam;Buurt;BU03634603;.;.;.;.;.;.;.;.;.
Museumkwartier;Amsterdam;Wijk;WK036347;27;7;23;30;5;8;82;65;11
Johannnes Vermeerbuurt;Amsterdam;Buurt;BU03634700;26;7;23;29;4;8;83;65;12
P.C. Hooftbuurt;Amsterdam;Buurt;BU03634701;27;8;25;30;5;9;82;65;11
Concertgebouwbuurt;Amsterdam;Buurt;BU03634702;26;6;23;28;4;8;84;67;11
Cornelis Schuytbuurt;Amsterdam;Buurt;BU03634703;26;7;23;28;4;7;85;66;12
Banpleinbuurt;Amsterdam;Buurt;BU03634704;30;7;18;33;4;7;80;62;14
Hondecoeterbuurt;Amsterdam;Buurt;BU03634705;28;7;24;30;5;9;81;65;11
Harmoniehofbuurt;Amsterdam;Buurt;BU03634706;31;10;22;40;5;9;74;57;13
Museumplein;Amsterdam;Buurt;BU03634707;.;.;.;.;.;.;.;.;.
Vondelpark Oost;Amsterdam;Buurt;BU03634708;.;.;.;.;.;.;.;.;.
Duivelseiland;Amsterdam;Buurt;BU03634709;25;7;29;26;6;10;84;67;8
Stadionbuurt;Amsterdam;Wijk;WK036348;36;11;27;34;8;12;75;59;9
Bertelmanpleinbuurt;Amsterdam;Buurt;BU03634800;41;13;29;38;10;14;69;57;9
Marathonbuurt Oost;Amsterdam;Buurt;BU03634801;37;12;28;38;9;13;71;57;10
Marathonbuurt West;Amsterdam;Buurt;BU03634802;43;14;30;39;11;16;68;56;9
Olympisch Stadion e.o.;Amsterdam;Buurt;BU03634803;36;10;23;31;6;10;79;58;9
IJsbaanpad e.o.;Amsterdam;Buurt;BU03634804;33;9;18;30;4;8;83;59;13
Van Tuyllbuurt;Amsterdam;Buurt;BU03634805;31;9;26;29;6;10;81;62;8
Apollobuurt;Amsterdam;Wijk;WK036349;29;7;20;29;4;7;83;63;12
Diepenbrockbuurt;Amsterdam;Buurt;BU03634900;29;6;17;29;3;6;85;64;14
Beethovenbuurt;Amsterdam;Buurt;BU03634901;30;7;20;30;4;8;81;61;12
Hiltonbuurt;Amsterdam;Buurt;BU03634902;25;7;22;29;3;5;85;66;15
Minervabuurt Noord;Amsterdam;Buurt;BU03634903;28;7;20;30;4;7;84;64;12
Minervabuurt Midden;Amsterdam;Buurt;BU03634904;30;7;21;29;4;8;83;63;11
Minervabuurt Zuid;Amsterdam;Buurt;BU03634905;29;7;21;29;4;8;83;62;11
IJburg Oost;;;;.;.;.;.;.;.;.;.;.
Strandeiland;Amsterdam;Buurt;BU03635000;.;.;.;.;.;.;.;.;.
Middeneiland Zuidoost;Amsterdam;Buurt;BU03635001;.;.;.;.;.;.;.;.;.
Middeneiland Zuidwest;Amsterdam;Buurt;BU03635003;.;.;.;.;.;.;.;.;.
Buiteneiland;Amsterdam;Buurt;BU03635005;.;.;.;.;.;.;.;.;.
Centrumeiland;Amsterdam;Buurt;BU03635006;.;.;.;.;.;.;.;.;.
IJburg Zuid;Amsterdam;Wijk;WK036351;47;10;18;28;8;12;80;51;8
Rieteiland Oost;Amsterdam;Buurt;BU03635100;33;5;12;21;4;5;90;55;11
Haveneiland Oost;Amsterdam;Buurt;BU03635101;45;9;18;27;8;12;82;52;8
Haveneiland Noord;Amsterdam;Buurt;BU03635102;54;12;20;32;10;15;75;47;8
Scheldebuurt;Amsterdam;Wijk;WK036352;28;8;26;29;6;9;81;61;9
Wielingenbuurt;Amsterdam;Buurt;BU03635200;27;8;26;28;5;9;83;63;10
Scheldebuurt West;Amsterdam;Buurt;BU03635201;28;9;26;30;6;9;80;60;9
Scheldebuurt Midden;Amsterdam;Buurt;BU03635202;26;8;27;28;6;8;82;62;9
Scheldebuurt Oost;Amsterdam;Buurt;BU03635203;26;8;27;28;6;9;82;63;9
Veluwebuurt;Amsterdam;Buurt;BU03635206;38;11;26;39;9;13;69;50;9
Kop Zuidas;Amsterdam;Buurt;BU03635207;23;5;25;20;5;8;89;65;6
IJselbuurt;Amsterdam;Wijk;WK036353;32;10;31;33;8;12;76;60;9
IJselbuurt West;Amsterdam;Buurt;BU03635300;31;11;31;34;9;12;74;59;9
IJselbuurt Oost;Amsterdam;Buurt;BU03635301;32;10;31;32;8;12;77;61;9
Rijnbuurt;Amsterdam;Wijk;WK036354;32;10;29;33;8;12;75;59;9
Kromme Mijdrechtbuurt;Amsterdam;Buurt;BU03635400;32;10;30;34;9;13;75;60;9
Rijnbuurt Oost;Amsterdam;Buurt;BU03635401;28;9;29;29;7;10;80;61;9
Rijnbuurt Midden;Amsterdam;Buurt;BU03635402;28;9;28;30;7;10;80;60;9
Rijnbuurt West;Amsterdam;Buurt;BU03635403;43;15;30;42;11;17;63;51;10
Zorgvlied;Amsterdam;Buurt;BU03635404;31;7;17;30;3;8;83;58;14
Frankendael;Amsterdam;Wijk;WK036355;37;10;29;34;9;13;74;57;9
De Eenhoorn;Amsterdam;Buurt;BU03635501;31;6;36;24;10;15;81;66;5
Julianapark;Amsterdam;Buurt;BU03635502;29;9;25;30;5;9;81;60;10
Don Bosco;Amsterdam;Buurt;BU03635503;33;9;25;31;7;9;79;59;11
Frankendael;Amsterdam;Buurt;BU03635504;27;7;26;29;4;7;83;61;13
Tuindorp Amstelstation;Amsterdam;Buurt;BU03635505;49;17;31;46;12;17;60;49;11
De Wetbuurt;Amsterdam;Buurt;BU03635506;41;12;23;39;8;12;71;52;12
Tuindorp Frankendael;Amsterdam;Buurt;BU03635507;39;11;29;37;9;14;71;53;10
Van der Kunbuurt;Amsterdam;Buurt;BU03635508;50;15;31;38;13;16;66;55;9
